"","Date","Mkt.RF","SMB","HML","RMW","CMA","RF"
"165",2010-08-19,-1.19,0.27,-0.31,0.16,-0.27,0
"166",2010-08-20,-0.98,0.11,-0.34,0.15,-0.29,0
"167",2010-08-23,-0.21,-0.29,-0.08,0.21,-0.27,0
"168",2010-08-24,-1.28,0.45,0.01,0.32,-0.24,0
"169",2010-08-25,-0.31,0.26,-0.2,-0.01,-0.1,0
"170",2010-08-26,0.24,0.02,-0.01,-0.01,-0.03,0
"171",2010-08-27,1.29,-0.02,0.08,-0.31,0.31,0
"172",2010-08-30,-0.65,0.2,-0.12,0.3,-0.3,0
"173",2010-08-31,-0.28,-0.23,0.08,-0.17,-0.08,0
"174",2010-09-01,2.84,-0.7,0.18,-0.18,0.41,0
"175",2010-09-02,0.68,0.03,-0.06,-0.17,0.29,0
"176",2010-09-03,1.21,0,0.2,-0.33,0.34,0
"177",2010-09-06,0.38,0.26,0.05,-0.11,0.12,0
"178",2010-09-07,-1.2,0.02,-0.47,0.4,-0.5,0
"179",2010-09-08,0.44,-0.1,-0.16,0.09,-0.04,0
"180",2010-09-09,0.62,-0.3,0.34,-0.22,0.2,0
"181",2010-09-10,0.25,0.01,-0.14,0.18,0.04,0
"182",2010-09-13,1.59,0.27,0.18,-0.46,0.3,0
"183",2010-09-14,0.36,0.01,-0.32,0.14,-0.22,0
"184",2010-09-15,-0.05,-0.18,-0.22,-0.05,0.16,0
"185",2010-09-16,-0.17,-0.09,-0.3,0.15,0.01,0
"186",2010-09-17,0.06,0.39,-0.27,-0.03,-0.07,0
"187",2010-09-20,1.26,0.06,0,-0.16,0.14,0
"188",2010-09-21,0.31,0.19,-0.04,0.16,-0.08,0
"189",2010-09-22,-0.23,0.19,-0.21,0.32,-0.37,0
"190",2010-09-23,-0.64,0.12,-0.44,0.25,-0.31,0
"191",2010-09-24,1.8,-0.27,0.32,-0.52,0.41,0
"192",2010-09-27,-0.19,0.43,-0.04,0.28,-0.05,0
"193",2010-09-28,0.59,0.13,-0.06,-0.09,0.11,0
"194",2010-09-29,0.04,0.54,0,0,0.12,0
"195",2010-09-30,-0.45,0.13,0.1,0.04,0.08,0
"196",2010-10-01,0.62,0.1,0,0.04,-0.01,0
"197",2010-10-04,-0.88,-0.06,-0.16,0.18,-0.07,0
"198",2010-10-05,1.91,-0.34,0.29,-0.47,0.2,0
"199",2010-10-06,0.63,-0.12,0.21,-0.01,0.1,0
"200",2010-10-07,-0.02,0.19,0.01,0.08,0.1,0
"201",2010-10-08,0.46,0.21,-0.09,-0.14,-0.01,0
"202",2010-10-11,0.01,0.06,-0.19,0.04,0.01,0
